Name	Type	Level	Diff	Mat 1	Qty 1	Mat 2	Qty 2	Mat 3	Qty 3	Mat 4	Qty 4	"ATK
DEF"	Pot	Player	NPC	Event
Adventure Garb	ARM	5	15	Bird Wing	x35	Cloth	40pts							YES	YES	NO
Leather Armor	ARM	15	25											YES	YES	NO
Warrior Mail	ARM	20	25											YES	YES	NO
Mage Robe	ARM	20	25											YES	YES	NO
Hunter's Garb	ARM	25	30											YES	YES	NO
Straye Garb	ARM	25	30											YES	YES	NO
Forest Wolf Garb	ARM	25	30											YES	YES	NO
Fightwear	ARM	30	35											YES	YES	NO
Plate Armor	ARM	30	35											YES	YES	NO
Magic Crystal Armor	ARM	30	35											YES	YES	NO
Brutal Dragon Armor	ARM	35	40											YES	YES	NO
Green Dragon Garb	ARM	40	45											YES	YES	NO
Aqua Garb	ARM	45	50											YES	YES	NO
Ooze Armor	ARM	50	55											YES	YES	NO
Scale Armor	ARM	50	55											YES	YES	NO
Oracle Robe	ARM	55	60											YES	YES	NO
Killer Coat	ARM	60	65											YES	YES	NO
Knight Armor	ARM	60	65											YES	YES	NO
Magic Swordsman's Garb	ARM	60	65											YES	YES	NO
Medic Coat	ARM	60	65											YES	YES	NO
Outerworld Armor	ARM	65	70											YES	YES	NO
Brigandine	ARM	80	85											YES	YES	NO
Armigma	ARM	90	95											YES	YES	NO
Praetor Suit	ARM	90	95											YES	YES	NO
Twilight Dress	ARM	95	100											YES	YES	NO
Assassin Garb	ARM	100	105											YES	YES	NO
Fortistra	ARM	105	110											YES	YES	NO
Holy Robe	ARM	120	125											YES	YES	NO
Fortuita Vestibus	ARM	120	125											YES	YES	NO
Diomedea Suit	ARM	120	125											YES	YES	NO
Mozt Armor	ARM	125	130											YES	YES	NO
Bow	BOW	1	1	Wood	3pts									YES	YES	NO
Hard Wood Bow	BOW	5	10	Tree Root	x35	Wood	25pts							YES	YES	NO
Long Bow	BOW	15	20	Wood Stick	x30	Vine	x20	Beast	50pts					YES	YES	NO
Iron Bow	BOW	25	30	Sweet Smelling Stone	x20	Chaos Stone	x5	Wood	45pts	Metal	30pts			YES	YES	NO
Forest Wolf Bow	BOW	30	35	Forest wolf Horn	x20	Broken Metal	x30	Nisel Wood	x20	Wood	200pts			YES	YES	NO
Metal Horn Bow	BOW	35	40	High Quality Iron	x10	Damacus Ore	x5	Metal	60pts	Wood	40pts			YES	YES	NO
Steel Leaf Bow	BOW	45	50											YES	YES	NO
Iron Exoskeleton Bow	BOW	50	55	Mineral Scissor	x2	Crustacean Steel	x2	Wood	500pts					YES	YES	NO
Huge Steel Bow	BOW	55	60											YES	YES	NO
Blaster Bow	BOW	65	70											YES	YES	NO
Ring Bow	BOW	65	70											YES	YES	NO
Desert Mentum	BOW	70	75											YES	YES	NO
Grand Horn Bow	BOW	75	80											YES	YES	NO
Icebow Verglas	BOW	80	85											YES	YES	NO
Panzer Bow	BOW	85	90											YES	YES	NO
Skeleton Bow	BOW	95	100											YES	YES	NO
Leve Bow	BOW	105	110											YES	YES	NO
Seffed Bow	BOW	105	110											YES	YES	NO
Thunderbolt Bow	BOW	115	120											YES	YES	NO
Bowgun	BWG	1	1	Dirty Nail	x5	Wood	3pts							YES	YES	NO
Sword Bowgun	BWG	5	10	Wolf Fur	x35	Wood	20pts	Metal	5pts					YES	YES	NO
Iron Barrel	BWG	15	20	Coal	x6	Ribisco Crystal	x4	Wood	30pts	Metal	20pts			YES	YES	NO
